name,salary_from,salary_to,salary_currency,area_name,published_at
Оператор станков с ЧПУ (токарная группа).Бронь от призыва по мобилизации.,Новосибирск,80000.0,,RUR,2022-12-05T07:58:06+0300
Системный администратор,Усть-Большерецк,60000.0,100000.0,RUR,2022-12-05T06:28:18+0300
Помощник системного администратора,Пенза,,20000.0,RUR,2022-12-05T10:51:17+0300
Инженер ОПС,Пермь,35000.0,100000.0,RUR,2022-12-05T08:15:09+0300
Главный механик,Хабаровск,160000.0,160000.0,RUR,2022-12-05T05:45:19+0300
Инженер технической поддержки (Дистанционно),Москва,91900.0,91954.0,RUR,2022-12-05T11:55:05+0300
Мастер-приемщик,Домодедово,70000.0,70000.0,RUR,2022-12-05T10:30:51+0300
Токарь (бронь от призыва по мобилизации),Новосибирск,100000.0,,RUR,2022-12-05T07:58:07+0300
Сервисный инженер,Таганрог,46000.0,53000.0,RUR,2022-12-05T09:18:29+0300
Наладчик станков с ЧПУ (фрезерная группа),Нижний Новгород,70000.0,,RUR,2022-12-05T09:09:15+0300
Системный администратор,Рязань,60000.0,,RUR,2022-12-05T10:20:36+0300
Бизнес-аналитик,Ташкент,500.0,3000.0,USD,2022-12-05T08:46:16+0300
Разработчик C#,Москва,180000.0,,RUR,2022-12-05T11:22:43+0300
Дизайнер интерьера,Махачкала,,100000.0,RUR,2022-12-05T09:47:16+0300
Наладчик станка с ЧПУ/токарь,Санкт-Петербург,110000.0,,RUR,2022-12-05T11:56:55+0300
Механик в п. Отеген батыр,Алматы,200000.0,230000.0,KZT,2022-12-05T09:42:38+0300
Графический дизайнер,Нижний Новгород,35000.0,,RUR,2022-12-05T08:57:35+0300
Специалист поддержки пользователей (HelpDesk),Москва,55000.0,75000.0,RUR,2022-12-05T11:33:19+0300
"Технический специалист, г.Альметьевск",Альметьевск,60000.0,,RUR,2022-12-05T09:50:42+0300
Веб-дизайнер,Москва,,80000.0,RUR,2022-12-05T07:59:39+0300
Менеджер проектов в digital агентство,Саратов,30000.0,55000.0,RUR,2022-12-05T09:31:17+0300
Back-end разработчик,Владивосток,140000.0,,RUR,2022-12-05T07:14:16+0300
Специалист IT отдела,Тюмень,60000.0,,RUR,2022-12-05T08:36:20+0300
Эксперт по СRM,Москва,350000.0,,RUR,2022-12-05T11:49:11+0300
Наладчик машин и автоматических линий,Самара,53000.0,,RUR,2022-12-05T07:00:44+0300
Менеджер по работе с клиентами,Минусинск,28000.0,,RUR,2022-12-05T11:01:49+0300
Менеджер проектов,Москва,120000.0,,RUR,2022-12-05T11:18:06+0300
Аналитик коммерческого отдела (Удаленно),Москва,40000.0,50000.0,RUR,2022-12-05T11:39:53+0300
Программист 1С,Минск,,5000.0,BYR,2022-12-05T11:52:42+0300
Системный администратор,Липецк,,45000.0,RUR,2022-12-05T08:27:02+0300
Фулстек-программист (php),Владивосток,60000.0,100000.0,RUR,2022-12-05T05:33:40+0300
Системный администратор центра управления сетью,Уфа,55000.0,60000.0,RUR,2022-12-05T09:21:30+0300
Слесарь по ремонту холодильного оборудования,Санкт-Петербург,60000.0,150000.0,RUR,2022-12-05T10:16:33+0300
Механик,Хабаровск,130000.0,170000.0,RUR,2022-12-05T04:46:14+0300
Системный администратор по судовой инфраструктуре,Владивосток,80000.0,100000.0,RUR,2022-12-05T08:28:28+0300
Системный аналитик,Москва,150000.0,300000.0,RUR,2022-12-05T10:50:10+0300
Инженер обслуживания систем домофонии,Уфа,70000.0,80000.0,RUR,2022-12-05T10:35:59+0300
